Year,Ward code,Borough,Ward,Name,Party,Votes,Elected,Rank,Ballot position,Party position,Num candidates
2010,00ALGQ,Greenwich,Blackheath Westcombe,"Smith, Christopher E.J.",Lib Dem,1364,False,9,8,3,9
2010,00ALGR,Greenwich,Charlton,"Gillman, Janet M.",Lab,3137,True,1,2,1,9
2010,00ALGR,Greenwich,Charlton,"Maccarthy, Allan J.H.D.",Lab,2911,True,2,4,2,9
2010,00ALGR,Greenwich,Charlton,"Parker, Gary",Lab,2594,True,3,6,3,9
2010,00ALGR,Greenwich,Charlton,"Garry, James I.",Cons,1446,False,4,1,1,9
2010,00ALGR,Greenwich,Charlton,"Mclean, Wait L.M.",Cons,1211,False,5,5,2,9
2010,00ALGR,Greenwich,Charlton,"Shackleton, Richard N.",Cons,1191,False,6,8,3,9
2010,00ALGR,Greenwich,Charlton,"Lyons, Thom",Lib Dem,1152,False,7,3,1,9
2010,00ALGR,Greenwich,Charlton,"Sutton, Katie",Lib Dem,1121,False,8,9,3,9
2010,00ALGR,Greenwich,Charlton,"Scales, David",Lib Dem,1010,False,9,7,2,9
2010,00ALGS,Greenwich,Coldharbour And New Eltham,"Brinkhurst, Mandy",Cons,2963,True,1,1,1,8
2010,00ALGS,Greenwich,Coldharbour And New Eltham,"Hills, John",Cons,2796,True,2,5,3,8
2010,00ALGS,Greenwich,Coldharbour And New Eltham,"Dickinson, Neil S.",Cons,2663,True,3,3,2,8
2010,00ALGS,Greenwich,Coldharbour And New Eltham,"Daniel, Penelope",Lab,2310,False,4,2,1,8
2010,00ALGS,Greenwich,Coldharbour And New Eltham,"Reader, David",Lab,1925,False,5,7,2,8
2010,00ALGS,Greenwich,Coldharbour And New Eltham,"Stanworth, Michael J.",Lab,1805,False,6,8,3,8
2010,00ALGS,Greenwich,Coldharbour And New Eltham,"Gent, Anthea H.",Lib Dem,1033,False,7,4,1,8
2010,00ALGS,Greenwich,Coldharbour And New Eltham,"Lewis, Emma L.",Lib Dem,1013,False,8,6,2,8
2010,00ALGT,Greenwich,Eltham North,"Drury, Spencer",Cons,3078,True,1,4,1,9
2010,00ALGT,Greenwich,Eltham North,"Fletcher, Nigel M.",Cons,2968,True,2,5,2,9
2010,00ALGT,Greenwich,Eltham North,"Poston, Dermot D.",Cons,2774,True,3,7,3,9
2010,00ALGT,Greenwich,Eltham North,"Borland, Bernie",Lab,2395,False,4,3,2,9
2010,00ALGT,Greenwich,Eltham North,"Bird, Emily",Lab,2338,False,5,1,1,9
2010,00ALGT,Greenwich,Eltham North,"Marnham, Janice M.",Lab,2330,False,6,6,3,9
2010,00ALGT,Greenwich,Eltham North,"Randall, Edward J.",Lib Dem,1126,False,7,8,2,9
2010,00ALGT,Greenwich,Eltham North,"Blackburn, Helen",Lib Dem,1073,False,8,2,1,9
2010,00ALGT,Greenwich,Eltham North,"Shubert, Elliot",Lib Dem,816,False,9,9,3,9
2010,00ALGU,Greenwich,Eltham South,"Glover, Eileen W.",Cons,2677,True,1,3,2,9
2010,00ALGU,Greenwich,Eltham South,"Clare, Matthew A.",Cons,2603,True,2,2,1,9
2010,00ALGU,Greenwich,Eltham South,"Thomas, Adam M.",Cons,2128,True,3,8,3,9
2010,00ALGU,Greenwich,Eltham South,"Abbott, Lesley",Lab,1645,False,4,1,1,9
2010,00ALGU,Greenwich,Eltham South,"May, James",Lab,1570,False,5,5,2,9
2010,00ALGU,Greenwich,Eltham South,"Pattenden, Mark S.",Lib Dem,1479,False,6,6,2,9
2010,00ALGU,Greenwich,Eltham South,"Lewis, Michael J.",Lib Dem,1476,False,7,4,1,9
2010,00ALGU,Greenwich,Eltham South,"Twidale, John",Lab,1450,False,8,9,3,9
2010,00ALGU,Greenwich,Eltham South,"Rangelov, Boba",Lib Dem,1077,False,9,7,3,9
2010,00ALGW,Greenwich,Eltham West,"Hayes, Michael R.",Lab,2255,True,1,4,2,9
2010,00ALGW,Greenwich,Eltham West,"Freeman, William",Lab,2243,True,2,3,1,9
2010,00ALGW,Greenwich,Eltham West,"Walker, Raymond G.A.",Lab,2075,True,3,9,3,9
2010,00ALGW,Greenwich,Eltham West,"Bennett, Ian J.",Cons,1172,False,4,1,1,9
2010,00ALGW,Greenwich,Eltham West,"Raymore, Remi M.",Cons,1128,False,5,7,2,9
2010,00ALGW,Greenwich,Eltham West,"Von, Teichmeister S.",Cons,911,False,6,8,3,9
2010,00ALGW,Greenwich,Eltham West,"Cox, Eileen J.",Lib Dem,667,False,7,2,1,9
2010,00ALGW,Greenwich,Eltham West,"Huntbach, Matthew M.",Lib Dem,508,False,8,5,2,9
2010,00ALGW,Greenwich,Eltham West,"Nicholls, Yvonne",Lib Dem,465,False,9,6,3,9
2010,00ALGX,Greenwich,Glyndon,"Austen, Donald J.",Lab,3386,True,1,1,1,9
2010,00ALGX,Greenwich,Glyndon,"Rabadia, Radha",Lab,3201,True,2,7,2,9
2010,00ALGX,Greenwich,Glyndon,"Roberts, Christopher J.",Lab,3144,True,3,8,3,9
2010,00ALGX,Greenwich,Glyndon,"Headon, Tom",Lib Dem,1054,False,4,4,1,9
2010,00ALGX,Greenwich,Glyndon,"Chapman, Paul C.",Cons,1041,False,5,2,1,9
2010,00ALGX,Greenwich,Glyndon,"Miller, Suzanne J.",Lib Dem,993,False,6,5,2,9
2010,00ALGX,Greenwich,Glyndon,"Godden, David J.",Cons,966,False,7,3,2,9
2010,00ALGX,Greenwich,Glyndon,"Patel, Bhaval U.",Cons,928,False,8,6,3,9
2010,00ALGX,Greenwich,Glyndon,"Smith, Andrew C.",Lib Dem,870,False,9,9,3,9
2010,00ALGY,Greenwich,Greenwich West,"O'Mara, Maureen",Lab,2783,True,1,8,2,9
2010,00ALGY,Greenwich,Greenwich West,"Grant, David I.",Lab,2630,True,2,5,1,9
2010,00ALGY,Greenwich,Greenwich West,"Pennycook, Matthew T.",Lab,2421,True,3,9,3,9
2010,00ALGY,Greenwich,Greenwich West,"Mortimer, Lucy",Lib Dem,1889,False,4,7,3,9
2010,00ALGY,Greenwich,Greenwich West,"Austin, Anthony",Lib Dem,1879,False,5,2,1,9
2010,00ALGY,Greenwich,Greenwich West,"Gerrard, Ian J.",Lib Dem,1654,False,6,4,2,9
2010,00ALGY,Greenwich,Greenwich West,"Gallie, Simon D.I.",Cons,1481,False,7,3,2,9
2010,00ALGY,Greenwich,Greenwich West,"Acty, Ryan M.J.",Cons,1459,False,8,1,1,9
2010,00ALGY,Greenwich,Greenwich West,"Harris, Mary S.",Cons,1423,False,9,6,3,9
2010,00ALGZ,Greenwich,Kidbrooke With Hornfair,"Adams, Norman R.",Lab,2709,True,1,1,1,9
2010,00ALGZ,Greenwich,Kidbrooke With Hornfair,"Gillman, Jim",Lab,2491,True,2,5,3,9
2010,00ALGZ,Greenwich,Kidbrooke With Hornfair,"Fletcher, Hayley C.",Lab,2456,True,3,4,2,9
2010,00ALGZ,Greenwich,Kidbrooke With Hornfair,"Coombes, Graeme S.",Cons,1969,False,4,2,1,9
2010,00ALGZ,Greenwich,Kidbrooke With Hornfair,"Salmon, Frank",Cons,1763,False,5,7,2,9
2010,00ALGZ,Greenwich,Kidbrooke With Hornfair,"Serroukh, Semo",Cons,1489,False,6,8,3,9
2010,00ALGZ,Greenwich,Kidbrooke With Hornfair,"Coppack, Lee",Lib Dem,993,False,7,3,1,9
2010,00ALGZ,Greenwich,Kidbrooke With Hornfair,"Robinson, Denys",Lib Dem,872,False,8,6,2,9
2010,00ALGZ,Greenwich,Kidbrooke With Hornfair,"Woodcraft, Barbara",Lib Dem,779,False,9,9,3,9
2010,00ALHA,Greenwich,Middle Park And Sutcliffe,"May, Christine",Lab,2324,True,1,5,2,9
2010,00ALHA,Greenwich,Middle Park And Sutcliffe,"James, Mark S.",Lab,2274,True,2,4,1,9
2010,00ALHA,Greenwich,Middle Park And Sutcliffe,"Morris, Clare C.",Lab,2247,True,3,6,3,9
2010,00ALHA,Greenwich,Middle Park And Sutcliffe,"Brinson, David",Cons,1587,False,4,1,1,9
2010,00ALHA,Greenwich,Middle Park And Sutcliffe,"Webbewood, Paul",Lib Dem,1571,False,5,8,2,9
2010,00ALHA,Greenwich,Middle Park And Sutcliffe,"Woodcraft, Brian J.",Lib Dem,1552,False,6,9,3,9
2010,00ALHA,Greenwich,Middle Park And Sutcliffe,"Green, Mary C.",Lib Dem,1521,False,7,3,1,9
2010,00ALHA,Greenwich,Middle Park And Sutcliffe,"Gillard, Patricia",Cons,1486,False,8,2,2,9
2010,00ALHA,Greenwich,Middle Park And Sutcliffe,"Sivananthan, Arujuna",Cons,1244,False,9,7,3,9
2010,00ALHB,Greenwich,Peninsula,"Mills, Mary",Lab,2566,True,1,5,1,9
2010,00ALHB,Greenwich,Peninsula,"Quibell, Richard",Lab,2200,True,2,6,2,9
2010,00ALHB,Greenwich,Peninsula,"Williams, Miranda",Lab,2136,True,3,9,3,9
2010,00ALHB,Greenwich,Peninsula,"Easton, Charlie",Cons,1426,False,4,4,2,9
2010,00ALHB,Greenwich,Peninsula,"Reid, Malcolm D.",Cons,1362,False,5,7,3,9
2010,00ALHB,Greenwich,Peninsula,"Bailey, Toks",Cons,1349,False,6,1,1,9
2010,00ALHB,Greenwich,Peninsula,"Butt, Philip D.",Lib Dem,1210,False,7,2,1,9
2010,00ALHB,Greenwich,Peninsula,"Cunliffe, Alex",Lib Dem,1167,False,8,3,2,9
2010,00ALHB,Greenwich,Peninsula,"Tybura, Julia H.",Lib Dem,1055,False,9,8,3,9
2010,00ALHC,Greenwich,Plumstead,"Cornforth, Angela J.",Lab,3254,True,1,3,1,9
2010,00ALHC,Greenwich,Plumstead,"Morrow, Matthew",Lab,3028,True,2,9,3,9
2010,00ALHC,Greenwich,Plumstead,"Jawaid, Sajid",Lab,2945,True,3,5,2,9
2010,00ALHC,Greenwich,Plumstead,"Martin, Matthew A.",Cons,1225,False,4,8,3,9
2010,00ALHC,Greenwich,Plumstead,"Brinkhurst, Graham K.",Cons,1174,False,5,1,1,9
2010,00ALHC,Greenwich,Plumstead,"Bryceland, Mark",Lib Dem,1052,False,6,2,1,9
2010,00ALHC,Greenwich,Plumstead,"De, Mascrel C.",Cons,953,False,7,4,2,9
2010,00ALHC,Greenwich,Plumstead,"Kandel, Narendra",Lib Dem,929,False,8,6,2,9
2010,00ALHC,Greenwich,Plumstead,"Lloret-Farina, Salvador",Lib Dem,719,False,9,7,3,9
2010,00ALHD,Greenwich,Shooters Hill,"Taylor, Barry I.",Lab,3093,True,1,7,2,9
2010,00ALHD,Greenwich,Shooters Hill,"Sekhon, Jagir K.",Lab,2917,True,2,6,1,9
2010,00ALHD,Greenwich,Shooters Hill,"Thorpe, Danny L.",Lab,2788,True,3,8,3,9
2010,00ALHD,Greenwich,Shooters Hill,"Burgess, Mo",Cons,1881,False,4,1,1,9
2010,00ALHD,Greenwich,Shooters Hill,"Emmett, Simon",Cons,1777,False,5,3,3,9
2010,00ALHD,Greenwich,Shooters Hill,"Chandler, Richard J.",Cons,1628,False,6,2,2,9
2010,00ALHD,Greenwich,Shooters Hill,"Ottery, Edward",Lib Dem,1210,False,7,4,1,9
2010,00ALHD,Greenwich,Shooters Hill,"Toole, Steven T.",Lib Dem,1009,False,8,9,3,9
2010,00ALHD,Greenwich,Shooters Hill,"Potter, Harry D.",Lib Dem,939,False,9,5,2,9
2010,00ALHE,Greenwich,Thamesmead Moorings,"Brooks, Peter J.",Lab,3826,True,1,1,1,9
2010,00ALHE,Greenwich,Thamesmead Moorings,"Kotz, Peter",Lab,3371,True,2,5,2,9
2010,00ALHE,Greenwich,Thamesmead Moorings,"Smith, Jacqueline A.",Lab,3326,True,3,9,3,9
2010,00ALHE,Greenwich,Thamesmead Moorings,"Culbert, Catherine A.M.",Cons,1049,False,4,3,1,9
2010,00ALHE,Greenwich,Thamesmead Moorings,"Cole, Neil W.P.",Lib Dem,965,False,5,2,1,9
2010,00ALHE,Greenwich,Thamesmead Moorings,"Murphy, Laura",Cons,959,False,6,7,3,9
2010,00ALHE,Greenwich,Thamesmead Moorings,"Frost, Sheila J.",Cons,843,False,7,4,2,9
2010,00ALHE,Greenwich,Thamesmead Moorings,"Mugenzi, Rene C.",Lib Dem,534,False,8,6,2,9
2010,00ALHE,Greenwich,Thamesmead Moorings,"Numuhoza, Marie L.",Lib Dem,452,False,9,8,3,9
2010,00ALHF,Greenwich,Woolwich Common,"Jones, Beverley A.",Lab,3312,True,1,5,1,9
2010,00ALHF,Greenwich,Woolwich Common,"Sidhu, Rajwant",Lab,2943,True,2,8,2,9
2010,00ALHF,Greenwich,Woolwich Common,"Singh, Harry",Lab,2872,True,3,9,3,9
2010,00ALHF,Greenwich,Woolwich Common,"Barron, Leonie K.",Lib Dem,999,False,4,1,1,9
2010,00ALHF,Greenwich,Woolwich Common,"Hills, Patricia A.",Cons,841,False,5,4,2,9
2010,00ALHF,Greenwich,Woolwich Common,"Durham, Anthony",Lib Dem,833,False,6,2,2,9
2010,00ALHF,Greenwich,Woolwich Common,"Frost, John",Cons,823,False,7,3,1,9
2010,00ALHF,Greenwich,Woolwich Common,"Nichols, John J.",Cons,815,False,8,7,3,9
2010,00ALHF,Greenwich,Woolwich Common,"Mbogga, Richard",Lib Dem,605,False,9,6,3,9
2010,00ALHG,Greenwich,Woolwich Riverside,"Barwick, Barbara E.",Lab,3416,True,1,1,1,9
2010,00ALHG,Greenwich,Woolwich Riverside,"Fahy, John",Lab,3196,True,2,4,2,9
2010,00ALHG,Greenwich,Woolwich Riverside,"Iqbal, Mohammed J.",Lab,2983,True,3,6,3,9
2010,00ALHG,Greenwich,Woolwich Riverside,"Davidson, Michael",Cons,1298,False,4,2,1,9
2010,00ALHG,Greenwich,Woolwich Riverside,"Dawe, Alexander J.",Cons,1171,False,5,3,2,9
2010,00ALHG,Greenwich,Woolwich Riverside,"Hooker, Sally R.",Lib Dem,1061,False,6,5,1,9
2010,00ALHG,Greenwich,Woolwich Riverside,"James, Andrew C.",Lib Dem,1018,False,7,7,2,9
2010,00ALHG,Greenwich,Woolwich Riverside,"Wright, Vanessa I.",Cons,962,False,8,9,3,9
2010,00ALHG,Greenwich,Woolwich Riverside,"Randall, Rachel J.",Lib Dem,812,False,9,8,3,9
2010,00AMGA,Hackney,Brownswood,"Bell, Brian",Lab,1617,True,1,1,1,9
2010,00AMGA,Hackney,Brownswood,"De Botton, Oli",Lab,1448,True,2,2,2,9
2010,00AMGA,Hackney,Brownswood,"Demirci, Feryal",Lab,1225,True,3,3,3,9
2010,00AMGA,Hackney,Brownswood,"Marsh, Sarah",Lib Dem,903,False,4,6,1,9
2010,00AMGA,Hackney,Brownswood,"Phillips, David J.",Lib Dem,825,False,5,7,2,9
2010,00AMGA,Hackney,Brownswood,"Sharer, Bella",Lib Dem,654,False,6,8,3,9
2010,00AMGA,Hackney,Brownswood,"Kleinberg, Ian A.",Cons,415,False,7,4,1,9
2010,00AMGA,Hackney,Brownswood,"Kleinberg, Yvonne",Cons,396,False,8,5,2,9
2010,00AMGA,Hackney,Brownswood,"White, Andrew",Cons,329,False,9,9,3,9
2010,00AMGB,Hackney,Cazenove,"Akhoon, Dawood E.",Lib Dem,2212,True,1,1,1,9
2010,00AMGB,Hackney,Cazenove,"Sharer, Ian D.",Lib Dem,1966,True,2,8,3,9
2010,00AMGB,Hackney,Cazenove,"Jacobson, Abraham",Lib Dem,1900,True,3,5,2,9
2010,00AMGB,Hackney,Cazenove,"Carey-Dawes, Daniel R.",Lab,1860,False,4,2,1,9
2010,00AMGB,Hackney,Cazenove,"David, Kofoworola A.",Lab,1722,False,5,4,2,9
2010,00AMGB,Hackney,Cazenove,"Macfoy, Joko N.",Lab,1514,False,6,6,3,9
2010,00AMGB,Hackney,Cazenove,"Daley, Nailah M.",Cons,414,False,7,3,1,9
2010,00AMGB,Hackney,Cazenove,"Sills, Christopher D.",Cons,334,False,8,9,3,9
2010,00AMGB,Hackney,Cazenove,"Nowobilska, Alina Z.",Cons,281,False,9,7,2,9
2010,00AMGC,Hackney,Chatham,"Nicholson, Guy",Lab,2738,True,1,5,3,8
2010,00AMGC,Hackney,Chatham,"Mulready, Sally",Lab,2605,True,2,4,2,8
2010,00AMGC,Hackney,Chatham,"Akehurst, Luke",Lab,2591,True,3,1,1,8
2010,00AMGC,Hackney,Chatham,"Rahman, Mahfuzur",Lib Dem,901,False,4,6,1,8
2010,00AMGC,Hackney,Chatham,"Seydali, Tim",Lib Dem,789,False,5,7,2,8
2010,00AMGC,Hackney,Chatham,"Mascall, Ben",Cons,539,False,6,2,1,8
2010,00AMGC,Hackney,Chatham,"Mcclean, Carl C.",Cons,437,False,7,3,2,8
2010,00AMGC,Hackney,Chatham,"Spencer, Lornette J.",Cons,357,False,8,8,3,8
2010,00AMGD,Hackney,Clissold,"Alcock, Karen L.",Lab,2979,True,1,1,1,9
2010,00AMGD,Hackney,Clissold,"Mitchell, Wendy J.",Lab,2266,True,2,6,2,9
2010,00AMGD,Hackney,Clissold,"Smith, Linda K.",Lab,2083,True,3,8,3,9
2010,00AMGD,Hackney,Clissold,"Anderson, Sylvia",Lib Dem,1290,False,4,2,1,9
2010,00AMGD,Hackney,Clissold,"Morgan, Jan",Lib Dem,796,False,5,7,3,9
2010,00AMGD,Hackney,Clissold,"Kohn-Souza, Keren",Lib Dem,683,False,6,4,2,9
2010,00AMGD,Hackney,Clissold,"Ibbott, Samuel J.",Cons,509,False,7,3,1,9
2010,00AMGD,Hackney,Clissold,"Lewington, Irene M.",Cons,369,False,8,5,2,9
2010,00AMGD,Hackney,Clissold,"Steinberger, Ita",Cons,283,False,9,9,3,9
2010,00AMGE,Hackney,Dalston,"Gregory, Michelle S.",Lab,2544,True,1,3,1,9
2010,00AMGE,Hackney,Dalston,"Linden, Sophie K.",Lab,2369,True,2,5,2,9
2010,00AMGE,Hackney,Dalston,"Mulready-Jones, Angus J.M.",Lab,2234,True,3,7,3,9
2010,00AMGE,Hackney,Dalston,"Billins, Roger",Lib Dem,1308,False,4,1,1,9
2010,00AMGE,Hackney,Dalston,"Elduayen, Bernardo",Lib Dem,1045,False,5,2,2,9
2010,00AMGE,Hackney,Dalston,"Molloy, Simon P.",Lib Dem,1012,False,6,6,3,9
2010,00AMGE,Hackney,Dalston,"Ledger, William",Cons,582,False,7,4,1,9
2010,00AMGE,Hackney,Dalston,"Vasey, Clark",Cons,320,False,8,9,3,9
2010,00AMGE,Hackney,Dalston,"Unek, Fadile",Cons,318,False,9,8,2,9
2010,00AMGF,Hackney,De Beauvoir,"Chapman, Robert A.",Lab,2528,True,1,3,1,9
2010,00AMGF,Hackney,De Beauvoir,"Ebbutt, Tom",Lab,2456,True,2,4,2,9
2010,00AMGF,Hackney,De Beauvoir,"Icoz, Gulay",Lab,2307,True,3,6,3,9
2010,00AMGF,Hackney,De Beauvoir,"Friend, Peter",Lib Dem,1513,False,4,5,1,9
2010,00AMGF,Hackney,De Beauvoir,"Macmillan, Nicholas",Lib Dem,1245,False,5,7,2,9
2010,00AMGF,Hackney,De Beauvoir,"Brooke, Andrew P.",Cons,1073,False,6,2,2,9
2010,00AMGF,Hackney,De Beauvoir,"Beddington, David",Cons,1017,False,7,1,1,9
2010,00AMGF,Hackney,De Beauvoir,"Price, Eleanor",Cons,993,False,8,8,3,9
2010,00AMGF,Hackney,De Beauvoir,"Stobbs, Piers",Lib Dem,856,False,9,9,3,9
2010,00AMGG,Hackney,Hackney Central,"Laing, Alan R.",Lab,2757,True,1,1,1,8
2010,00AMGG,Hackney,Hackney Central,"Lloyd, Samantha A.",Lab,2619,True,2,2,2,8
2010,00AMGG,Hackney,Hackney Central,"Stops, Vincent R.A.",Lab,2201,True,3,7,3,8
2010,00AMGG,Hackney,Hackney Central,"Raval, Dave",Lib Dem,1397,False,4,4,1,8
2010,00AMGG,Hackney,Hackney Central,"Slay, Julia",Lib Dem,978,False,5,6,2,8
2010,00AMGG,Hackney,Hackney Central,"Thompson, Reuben",Lib Dem,822,False,6,8,3,8
2010,00AMGG,Hackney,Hackney Central,"O'Leary, Christopher",Cons,413,False,7,3,1,8
2010,00AMGG,Hackney,Hackney Central,"Santiago, Jose F.",Cons,397,False,8,5,2,8
2010,00AMGH,Hackney,Hackney Downs,"Desmond, Michael B.",Lab,2359,True,1,1,1,9
2010,00AMGH,Hackney,Hackney Downs,"Russell, Alex",Lab,1836,True,2,7,3,9
2010,00AMGH,Hackney,Hackney Downs,"Muir, Rick",Lab,1783,True,3,5,2,9
2010,00AMGH,Hackney,Hackney Downs,"Horowitz, Susan",Lib Dem,982,False,4,3,2,9
2010,00AMGH,Hackney,Hackney Downs,"Eckstein, Mozes",Lib Dem,908,False,5,2,1,9
2010,00AMGH,Hackney,Hackney Downs,"Jacobson, Gita",Lib Dem,868,False,6,4,3,9
2010,00AMGH,Hackney,Hackney Downs,"Rice, Olive A.",Cons,434,False,7,6,1,9
2010,00AMGH,Hackney,Hackney Downs,"Sills, Pamela",Cons,359,False,8,8,2,9
2010,00AMGH,Hackney,Hackney Downs,"Westcott, Mark",Cons,344,False,9,9,3,9
2010,00AMGJ,Hackney,Haggerston,"Mcshane, Jonathan D.",Lab,2380,True,1,6,2,9
2010,00AMGJ,Hackney,Haggerston,"Buitekant, Barry",Lab,2237,True,2,3,1,9
2010,00AMGJ,Hackney,Haggerston,"Munn, Ann E.",Lab,2198,True,3,7,3,9
2010,00AMGJ,Hackney,Haggerston,"Arrowsmith, Christian",Lib Dem,1272,False,4,1,1,9
2010,00AMGJ,Hackney,Haggerston,"Payne, Geoffrey",Lib Dem,1121,False,5,8,2,9
2010,00AMGJ,Hackney,Haggerston,"Sloboda, John",Lib Dem,808,False,6,9,3,9
2010,00AMGJ,Hackney,Haggerston,"Bullock, Doreen",Cons,785,False,7,4,2,9
2010,00AMGJ,Hackney,Haggerston,"Beattie, Geoffrey",Cons,764,False,8,2,1,9
2010,00AMGJ,Hackney,Haggerston,"Fontaine, Samantha V.",Cons,756,False,9,5,3,9
2010,00AMGK,Hackney,Hoxton,"Glanville, Philip",Lab,2464,True,1,4,1,9
2010,00AMGK,Hackney,Hoxton,"Mckenzie, Clay",Lab,2354,True,2,5,2,9
2010,00AMGK,Hackney,Hoxton,"Williams, Carole P.",Lab,2152,True,3,8,3,9
2010,00AMGK,Hackney,Hoxton,"Bhalla, Salil",Lib Dem,1335,False,4,1,1,9
2010,00AMGK,Hackney,Hoxton,"Dogan, Koray",Lib Dem,1320,False,5,2,2,9
2010,00AMGK,Hackney,Hoxton,"Driver, James",Lib Dem,1314,False,6,3,3,9
2010,00AMGK,Hackney,Hoxton,"Palmer, Jacqueline",Cons,907,False,7,6,1,9
2010,00AMGK,Hackney,Hoxton,"Tinley, John",Cons,766,False,8,7,2,9
2010,00AMGK,Hackney,Hoxton,"Wilson, Jessica",Cons,679,False,9,9,3,9
2010,00AMGL,Hackney,Kings Park,"Patrick, Sharon R.",Lab,2824,True,1,5,2,7
2010,00AMGL,Hackney,Kings Park,"Nkafu, Julius A.",Lab,2575,True,2,4,1,7
2010,00AMGL,Hackney,Kings Park,"Siddiqui, Saleem",Lab,2504,True,3,6,3,7
2010,00AMGL,Hackney,Kings Park,"Whyte, Mark",Lib Dem,1306,False,4,7,1,7
2010,00AMGL,Hackney,Kings Park,"Dodkin, David A.",Cons,450,False,5,2,2,7
2010,00AMGL,Hackney,Kings Park,"De Zoete, Henry G.",Cons,381,False,6,1,1,7
2010,00AMGL,Hackney,Kings Park,"Egbuonu, Emeka V.",Cons,346,False,7,3,3,7
2010,00AMGM,Hackney,Leabridge,"Kelly, Linda",Lab,2878,True,1,2,1,8
2010,00AMGM,Hackney,Leabridge,"Rathbone, Ian",Lab,2559,True,2,7,3,8
2010,00AMGM,Hackney,Leabridge,"Oguzkanli, Deniz C.",Lab,2495,True,3,5,2,8
2010,00AMGM,Hackney,Leabridge,"Harflett, Melissa",Lib Dem,1206,False,4,1,1,8
2010,00AMGM,Hackney,Leabridge,"Sanders, Shaun L.",Lib Dem,758,False,5,8,2,8
2010,00AMGM,Hackney,Leabridge,"Nowobilski, Andrzej",Cons,297,False,6,3,1,8
2010,00AMGM,Hackney,Leabridge,"Onyejiaku, Mary-Joan",Cons,245,False,7,6,3,8
2010,00AMGM,Hackney,Leabridge,"Odze, Chaya S.",Cons,239,False,8,4,2,8
2010,00AMGN,Hackney,Lordship,"Brown, Edward M.",Lab,1827,True,1,2,1,9
2010,00AMGN,Hackney,Lordship,"Aussenberg, Bernard",Cons,1401,True,2,1,1,9
2010,00AMGN,Hackney,Lordship,"Stevens, Daniel J.",Lab,1378,True,3,8,2,9
2010,00AMGN,Hackney,Lordship,"Whitehill, Lee A.",Lab,1334,False,4,9,3,9
2010,00AMGN,Hackney,Lordship,"Coggins, Matthew",Cons,1261,False,5,3,2,9
2010,00AMGN,Hackney,Lordship,"Ellis, Alexander",Cons,1079,False,6,4,3,9
2010,00AMGN,Hackney,Lordship,"Nichols, Deborah",Lib Dem,912,False,7,6,2,9
2010,00AMGN,Hackney,Lordship,"Harms, Tony",Lib Dem,849,False,8,5,1,9
2010,00AMGN,Hackney,Lordship,"Stacy, Lee",Lib Dem,677,False,9,7,3,9
2010,00AMGP,Hackney,New River,"Mulready, Sean N.",Lab,1659,True,1,4,3,8
2010,00AMGP,Hackney,New River,"Jones, Michael G.",Lab,1574,True,2,1,1,8
2010,00AMGP,Hackney,New River,"Middleton, Maureen",Cons,1489,True,3,3,1,8
2010,00AMGP,Hackney,New River,"Kilinc, Yusuf",Lab,1450,False,4,2,2,8
2010,00AMGP,Hackney,New River,"Odze, Harvey",Cons,1380,False,5,5,2,8
2010,00AMGP,Hackney,New River,"Papier, Benzion",Cons,1353,False,6,6,3,8
2010,00AMGP,Hackney,New River,"Sibley, Martyn",Lib Dem,693,False,7,7,1,8
2010,00AMGP,Hackney,New River,"Smulian, Mark",Lib Dem,456,False,8,8,2,8
2010,00AMGQ,Hackney,Queensbridge,"Plouviez, Emma",Lab,2688,True,1,6,1,8
2010,00AMGQ,Hackney,Queensbridge,"Price, Tom",Lab,2573,True,2,7,2,8
2010,00AMGQ,Hackney,Queensbridge,"Vernon, Patrick P.",Lab,2249,True,3,8,3,8
2010,00AMGQ,Hackney,Queensbridge,"Gaskin, Ian",Lib Dem,1314,False,4,3,2,8
2010,00AMGQ,Hackney,Queensbridge,"Bokhari, Allum",Lib Dem,1242,False,5,2,1,8
2010,00AMGQ,Hackney,Queensbridge,"Boff, Andrew",Cons,941,False,6,1,1,8
2010,00AMGQ,Hackney,Queensbridge,"Peters, Hettie V.",Cons,646,False,7,5,3,8
2010,00AMGQ,Hackney,Queensbridge,"Matthew, Marcel",Cons,634,False,8,4,2,8
2010,00AMGR,Hackney,Springfield,"Levy, Michael",Cons,1687,True,1,6,1,9
2010,00AMGR,Hackney,Springfield,"Gordon, Margaret",Lab,1660,True,2,4,1,9
2010,00AMGR,Hackney,Springfield,"Steinberger, Simche",Cons,1567,True,3,9,3,9
2010,00AMGR,Hackney,Springfield,"Napier, Patricia",Cons,1553,False,4,7,2,9
2010,00AMGR,Hackney,Springfield,"Hayhurst, Ben",Lab,1353,False,5,5,2,9
2010,00AMGR,Hackney,Springfield,"Reid-Edwards, Ron",Lab,1267,False,6,8,3,9
2010,00AMGR,Hackney,Springfield,"Coffer, Lucy",Lib Dem,470,False,7,2,2,9
2010,00AMGR,Hackney,Springfield,"Donovan, Dennis A.",Lib Dem,458,False,8,3,3,9
2010,00AMGR,Hackney,Springfield,"Coffer, Felicity",Lib Dem,416,False,9,1,1,9
2010,00AMGS,Hackney,Stoke Newington Central,"Fajana-Thomas, Susan",Lab,2471,True,1,3,1,9
2010,00AMGS,Hackney,Stoke Newington Central,"Thomson, Louisa M.",Lab,2367,True,2,9,3,9
