Year,Ward code,Borough,Ward,Name,Party,Votes,Elected,Rank,Ballot position,Party position,Num candidates
2010,00ABGE,Barking and Dagenham,Goresbrook,"Naylor, George D.",Cons,644,False,4,4,1,7
2010,00ABGE,Barking and Dagenham,Goresbrook,"Newton, Christopher",Cons,533,False,5,5,2,7
2010,00ABGE,Barking and Dagenham,Goresbrook,"Taiwo, Felicia",Lib Dem,457,False,6,7,2,7
2010,00ABGE,Barking and Dagenham,Goresbrook,"Shukura, Nzingha T.",Lib Dem,347,False,7,6,1,7
2010,00ABGF,Barking and Dagenham,Heath,"Reason, Linda A.",Lab,2286,True,1,4,2,7
2010,00ABGF,Barking and Dagenham,Heath,"Miles, Dave",Lab,2241,True,2,3,1,7
2010,00ABGF,Barking and Dagenham,Heath,"Vincent, Gerry",Lab,1952,True,3,7,3,7
2010,00ABGF,Barking and Dagenham,Heath,"Hallewell, Neil E.",Cons,676,False,4,1,1,7
2010,00ABGF,Barking and Dagenham,Heath,"Smith, Richard J.",Cons,585,False,5,5,2,7
2010,00ABGF,Barking and Dagenham,Heath,"Towler, Barbara A.",Cons,522,False,6,6,3,7
2010,00ABGF,Barking and Dagenham,Heath,"London, Angela",Lib Dem,447,False,7,2,1,7
2010,00ABGG,Barking and Dagenham,Longbridge,"Gill, Sukhninder S.",Lab,3292,True,1,4,2,7
2010,00ABGG,Barking and Dagenham,Longbridge,"Gill, Nirmal",Lab,2900,True,2,3,1,7
2010,00ABGG,Barking and Dagenham,Longbridge,"Rice, Lynda",Lab,2559,True,3,6,3,7
2010,00ABGG,Barking and Dagenham,Longbridge,"Uddin, Mohammod J.",Lib Dem,1239,False,4,7,1,7
2010,00ABGG,Barking and Dagenham,Longbridge,"Ayer, Paul",Cons,1221,False,5,1,1,7
2010,00ABGG,Barking and Dagenham,Longbridge,"Rahman, Foyzur",Cons,1109,False,6,5,3,7
2010,00ABGG,Barking and Dagenham,Longbridge,"Bajwe, Komel",Cons,316,False,7,2,2,7
2010,00ABGH,Barking and Dagenham,Mayesbrook,"Hunt, Dorothy M.",Lab,1908,True,1,4,3,5
2010,00ABGH,Barking and Dagenham,Mayesbrook,"Baldwin, Ralph",Lab,1777,True,2,2,1,5
2010,00ABGH,Barking and Dagenham,Mayesbrook,"Barratt, George",Lab,1705,True,3,3,2,5
2010,00ABGH,Barking and Dagenham,Mayesbrook,"O`Brien, Tom",Cons,778,False,4,5,1,5
2010,00ABGH,Barking and Dagenham,Mayesbrook,"Adesanoye, Funke",Lib Dem,528,False,5,1,1,5
2010,00ABGJ,Barking and Dagenham,Parsloes,"Collins, Herbert J.",Lab,2158,True,1,2,1,5
2010,00ABGJ,Barking and Dagenham,Parsloes,"Kangethe, Elizabeth",Lab,1935,True,2,4,2,5
2010,00ABGJ,Barking and Dagenham,Parsloes,"Rice, Chris",Lab,1913,True,3,5,3,5
2010,00ABGJ,Barking and Dagenham,Parsloes,"Armstrong, Ronald",Cons,763,False,4,1,1,5
2010,00ABGJ,Barking and Dagenham,Parsloes,"Egbeson, Frederick",Lib Dem,575,False,5,3,1,5
2010,00ABGK,Barking and Dagenham,River,"Smith, Liam A.",Lab,2406,True,1,7,3,7
2010,00ABGK,Barking and Dagenham,River,"Keller, Eileen S.",Lab,2308,True,2,4,2,7
2010,00ABGK,Barking and Dagenham,River,"Jamu, Inder S.",Lab,2284,True,3,3,1,7
2010,00ABGK,Barking and Dagenham,River,"Cockling, Jean M.",Cons,576,False,4,2,2,7
2010,00ABGK,Barking and Dagenham,River,"Bairstow, Ronald C.",Cons,493,False,5,1,1,7
2010,00ABGK,Barking and Dagenham,River,"Nwokebuife, Chris",Cons,404,False,6,5,3,7
2010,00ABGK,Barking and Dagenham,River,"Ogbonmwan, Martha N.",Lib Dem,367,False,7,6,1,7
2010,00ABGL,Barking and Dagenham,Thames,"Channer, Josephine",Lab,2067,True,1,1,1,7
2010,00ABGL,Barking and Dagenham,Thames,"Poulton, Barry",Lab,2042,True,2,5,3,7
2010,00ABGL,Barking and Dagenham,Thames,"Geddes, Cameron",Lab,1978,True,3,3,2,7
2010,00ABGL,Barking and Dagenham,Thames,"Courtier, Mark V.",Cons,422,False,4,2,1,7
2010,00ABGL,Barking and Dagenham,Thames,"Rahman, Saifur",Lib Dem,366,False,5,7,1,7
2010,00ABGL,Barking and Dagenham,Thames,"Quadri, Moin A.",Cons,347,False,6,6,3,7
2010,00ABGL,Barking and Dagenham,Thames,"Onochie, Lauretta I.",Cons,322,False,7,4,2,7
2010,00ABGM,Barking and Dagenham,Valence,"Worby, Maureen",Lab,1803,True,1,5,3,5
2010,00ABGM,Barking and Dagenham,Valence,"Obasohan, Emmanuel",Lab,1723,True,2,3,1,5
2010,00ABGM,Barking and Dagenham,Valence,"Salam, Abdus",Lab,1610,True,3,4,2,5
2010,00ABGM,Barking and Dagenham,Valence,"Butcher, Neil J.R.",Cons,827,False,4,2,1,5
2010,00ABGM,Barking and Dagenham,Valence,"Blood, Alan A.",Lib Dem,672,False,5,1,1,5
2010,00ABGN,Barking and Dagenham,Village,"Waker, Lee R.",Lab,2454,True,1,5,2,7
2010,00ABGN,Barking and Dagenham,Village,"Waker, Philip T.",Lab,2303,True,2,6,3,7
2010,00ABGN,Barking and Dagenham,Village,"Mullane, Margaret",Lab,2259,True,3,3,1,7
2010,00ABGN,Barking and Dagenham,Village,"Beatty, Malcolm",Cons,906,False,4,1,1,7
2010,00ABGN,Barking and Dagenham,Village,"Zelkin, Roy A.",Cons,654,False,5,7,3,7
2010,00ABGN,Barking and Dagenham,Village,"Omosule, Sammy",Cons,587,False,6,4,2,7
2010,00ABGN,Barking and Dagenham,Village,"Hills, Robert G.",Lib Dem,555,False,7,2,1,7
2010,00ABGP,Barking and Dagenham,Whalebone,"Perry, Tony H.",Lab,2200,True,1,5,2,7
2010,00ABGP,Barking and Dagenham,Whalebone,"Jamu, Amardeep S.",Lab,2103,True,2,1,1,7
2010,00ABGP,Barking and Dagenham,Whalebone,"White, John R.",Lab,2085,True,3,7,3,7
2010,00ABGP,Barking and Dagenham,Whalebone,"Naylor, Christine M.",Cons,1112,False,4,3,1,7
2010,00ABGP,Barking and Dagenham,Whalebone,"Uddin, Emran",Cons,794,False,5,6,3,7
2010,00ABGP,Barking and Dagenham,Whalebone,"Oguntona, Wale",Cons,788,False,6,4,2,7
2010,00ABGP,Barking and Dagenham,Whalebone,"London, Maxine L.",Lib Dem,450,False,7,2,1,7
2010,00ACFX,Barnet,Brunswick Park,"Tambourides, Andreas",Cons,3496,True,1,5,3,9
2010,00ACFX,Barnet,Brunswick Park,"Rutter, Lisa",Cons,3353,True,2,4,2,9
2010,00ACFX,Barnet,Brunswick Park,"Hillan, Lynne",Cons,3307,True,3,2,1,9
2010,00ACFX,Barnet,Brunswick Park,"Haylett, Marianne",Lab,1994,False,4,1,1,9
2010,00ACFX,Barnet,Brunswick Park,"Williams, Lawrence",Lab,1937,False,5,8,3,9
2010,00ACFX,Barnet,Brunswick Park,"Magoba, Clement",Lab,1758,False,6,3,2,9
2010,00ACFX,Barnet,Brunswick Park,"Wicksteed, Charles E.",Lib Dem,1289,False,7,7,2,9
2010,00ACFX,Barnet,Brunswick Park,"Umbo, Eileen M.",Lib Dem,1217,False,8,6,1,9
2010,00ACFX,Barnet,Brunswick Park,"Wong, Gabrielle C.",Lib Dem,1066,False,9,9,3,9
2010,00ACFY,Barnet,Burnt Oak,"Farrier, Claire",Lab,3541,True,1,3,2,9
2010,00ACFY,Barnet,Burnt Oak,"Brodkin, Alex",Lab,3519,True,2,1,1,9
2010,00ACFY,Barnet,Burnt Oak,"O'Macauley, Charlie",Lab,3230,True,3,7,3,9
2010,00ACFY,Barnet,Burnt Oak,"Dyall, Keith F.",Cons,1315,False,4,2,1,9
2010,00ACFY,Barnet,Burnt Oak,"Sparrow, Pat",Cons,1241,False,5,9,3,9
2010,00ACFY,Barnet,Burnt Oak,"Martin, Michael J.",Cons,1179,False,6,6,2,9
2010,00ACFY,Barnet,Burnt Oak,"Hatchett, Karen",Lib Dem,890,False,7,5,2,9
2010,00ACFY,Barnet,Burnt Oak,"Roberts, Michael C.",Lib Dem,780,False,8,8,3,9
2010,00ACFY,Barnet,Burnt Oak,"Feszczur, Henryk P.",Lib Dem,760,False,9,4,1,9
2010,00ACFZ,Barnet,Childs Hill,"Cohen, Jack B.",Lib Dem,2596,True,1,2,1,9
2010,00ACFZ,Barnet,Childs Hill,"Palmer, Monroe E.",Lib Dem,2519,True,2,7,2,9
2010,00ACFZ,Barnet,Childs Hill,"Palmer, Susette S.",Lib Dem,2404,True,3,8,3,9
2010,00ACFZ,Barnet,Childs Hill,"Gearson, John P.S.",Cons,2285,False,4,4,2,9
2010,00ACFZ,Barnet,Childs Hill,"Curtis, Robert",Cons,2258,False,5,3,1,9
2010,00ACFZ,Barnet,Childs Hill,"Summers, Jill E.",Cons,2177,False,6,9,3,9
2010,00ACFZ,Barnet,Childs Hill,"Bryant, Sonia A.",Lab,1603,False,7,1,1,9
2010,00ACFZ,Barnet,Childs Hill,"Or-Bach, Alon",Lab,1296,False,8,5,2,9
2010,00ACFZ,Barnet,Childs Hill,"Oyenuga, Ade",Lab,1258,False,9,6,3,9
2010,00ACGA,Barnet,Colindale,"Johnson, Geoff",Lab,3259,True,1,3,1,9
2010,00ACGA,Barnet,Colindale,"Sargeant, Gillian W.",Lab,2836,True,2,7,2,9
2010,00ACGA,Barnet,Colindale,"Zubairi, Zakia",Lab,2711,True,3,9,3,9
2010,00ACGA,Barnet,Colindale,"Mann, Brian M.",Cons,1175,False,4,4,2,9
2010,00ACGA,Barnet,Colindale,"Nicholson, William J.",Cons,1175,False,5,5,3,9
2010,00ACGA,Barnet,Colindale,"Estermann, Danny",Lib Dem,1095,False,6,2,1,9
2010,00ACGA,Barnet,Colindale,"Esfandyari-Moghaddam, Sirous",Cons,1019,False,7,1,1,9
2010,00ACGA,Barnet,Colindale,"Reynolds, Philip M.",Lib Dem,898,False,8,6,2,9
2010,00ACGA,Barnet,Colindale,"Warsame, Sabriye H.",Lib Dem,764,False,9,8,3,9
2010,00ACGB,Barnet,Coppetts,"Rawlings, Barry J.",Lab,2576,True,1,5,3,9
2010,00ACGB,Barnet,Coppetts,"Salinger, Catherine A.",Cons,2493,True,2,6,2,9
2010,00ACGB,Barnet,Coppetts,"Coakley Webb, Pauline",Lab,2471,True,3,1,1,9
2010,00ACGB,Barnet,Coppetts,"Levine, Kathy",Lab,2373,False,4,4,2,9
2010,00ACGB,Barnet,Coppetts,"Depala, Mukesh H.",Cons,2288,False,5,2,1,9
2010,00ACGB,Barnet,Coppetts,"Wolfe, Nicky",Cons,2144,False,6,9,3,9
2010,00ACGB,Barnet,Coppetts,"Ferguson, Neil A.M.",Lib Dem,1316,False,7,3,1,9
2010,00ACGB,Barnet,Coppetts,"Spitzel, Anthony M.",Lib Dem,1156,False,8,7,2,9
